Target V, Target C, Colimator V, Collimator C, Time 
20.13,0.00007,12.53,0.00010,13:57:17 
77.89,0.00007,49.95,0.00004,13:57:19 
99.92,0.00003,49.94,0.00004,13:57:20 
99.91,0.00004,49.88999999999999,0.00004,13:57:22 
99.9,0.00004,49.94,0.00004,13:57:24 
106.5,0.00006,49.97,0.00006,13:57:26 
165.3,0.00006,108.06,0.00007,13:57:28 
199.88,0.00002,149.91,0.00003,13:57:30 
199.89000000000001,0.00002,149.91,0.00004,13:57:31 
199.9,0.00003,149.94,0.00004,13:57:33 
199.89000000000001,0.00002,149.9,0.00004,13:57:34 
199.9,0.00002,149.9,0.00003,13:57:36 
234.69,0.00006,177.43,0.00006,13:57:38 
293.47,0.00008,235.67,0.00006,13:57:40 
299.87,0.00002,249.89000000000001,0.00004,13:57:41 
299.89,0.00002,249.89000000000001,0.00003,13:57:43 
299.88,0.00002,249.89000000000001,0.00004,13:57:44 
299.89,0.00003,249.89000000000001,0.00003,13:57:46 
299.87,0.00002,249.9,0.00004,13:57:47 
299.88,0.00002,249.89000000000001,0.00003,13:57:49 
300.02,0.00002,249.98000000000002,0.00003,13:57:51 
300.01,0.00002,249.98999999999998,0.00004,13:57:52 
300.01,0.00002,250.0,0.00004,13:57:54 
305.59,0.00004,250.0,0.00009,13:57:56 
364.74,0.00004,305.8,0.00007,13:57:58 
400.05,0.00001,350.02,0.00004,13:57:59 
400.05,0.00002,350.04,0.00002,13:58:01 
